Species,Morpho_trait,min,max
O_e_echios,Fruit_length,4,6
O_e_barringtonensis,Fruit_length,7.8,9.2
O_e_gigantea,Fruit_length,5.5,7.5
O_e_inermis,Fruit_length,4,5.2
O_e_zacana,Fruit_length,4,8.5
O_g_galapageia,Fruit_length,2,6
O_g_macrocarpa,Fruit_length,3.2,5
O_g_profusa,Fruit_length,1.7,2.5
O_helleri,Fruit_length,4,7
O_insularis,Fruit_length,2,4.2
O_m_megasperma,Fruit_length,8,17
O_m_mesophytica,Fruit_length,4,6
O_m_orientalis,Fruit_length,6,10
O_saxicola,Fruit_length,2.5,3.9
O_e_echios,Fruit_width,3,3.5
O_e_barringtonensis,Fruit_width,3.8,4.7
O_e_gigantea,Fruit_width,3.1,3.8
O_e_inermis,Fruit_width,2.8,4
O_e_zacana,Fruit_width,3,4.5
O_g_galapageia,Fruit_width,2,3.5
O_g_macrocarpa,Fruit_width,2.8,4
O_g_profusa,Fruit_width,2.2,2.7
O_helleri,Fruit_width,2,4
O_insularis,Fruit_width,2,3
O_m_megasperma,Fruit_width,3.5,5
O_m_mesophytica,Fruit_width,2.7,3.6
O_m_orientalis,Fruit_width,3.5,5.5
O_saxicola,Fruit_width,2.3,3.8
O_e_echios,Seed_length,0.2,0.3
O_e_barringtonensis,Seed_length,0.3,0.5
O_e_gigantea,Seed_length,0.2,0.3
O_e_inermis,Seed_length,0.2,0.3
O_e_zacana,Seed_length,0.3,0.4
O_g_galapageia,Seed_length,0.25,0.33
O_g_macrocarpa,Seed_length,0.35,0.5
O_g_profusa,Seed_length,0.2,0.3
O_helleri,Seed_length,0.4,0.6
O_insularis,Seed_length,0.25,0.35
O_m_megasperma,Seed_length,0.8,1.3
O_m_mesophytica,Seed_length,0.7,1
O_m_orientalis,Seed_length,0.5,1
O_saxicola,Seed_length,0.2,0.3
O_e_echios,Seed_width,0.15,0.25
O_e_barringtonensis,Seed_width,0.2,0.3
O_e_gigantea,Seed_width,0.15,0.2
O_e_inermis,Seed_width,0.15,0.2
O_e_zacana,Seed_width,0.2,0.3
O_g_galapageia,Seed_width,0.17,0.22
O_g_macrocarpa,Seed_width,0.29,0.37
O_g_profusa,Seed_width,0.15,0.25
O_helleri,Seed_width,0.3,0.5
O_insularis,Seed_width,0.2,0.225
O_m_megasperma,Seed_width,0.6,1
O_m_mesophytica,Seed_width,0.5,0.8
O_m_orientalis,Seed_width,0.4,0.9
O_saxicola,Seed_width,0.15,0.25
O_e_echios,Seed_thickness,0.05,0.1
O_e_barringtonensis,Seed_thickness,0.1,0.2
O_e_gigantea,Seed_thickness,0.01,0.1
O_e_inermis,Seed_thickness,0.05,0.1
O_e_zacana,Seed_thickness,0.1,0.15
O_g_galapageia,Seed_thickness,0.1,0.2
O_g_macrocarpa,Seed_thickness,0.13,0.19
O_g_profusa,Seed_thickness,0.05,0.1
O_helleri,Seed_thickness,0.15,0.2
O_insularis,Seed_thickness,0.1,0.15
O_m_megasperma,Seed_thickness,0.4,0.6
O_m_mesophytica,Seed_thickness,0.2,0.4
O_m_orientalis,Seed_thickness,0.2,0.4
O_saxicola,Seed_thickness,0.05,0.1
