Species,Morpho_trait,min,max
O_e_echios,Height,100,300
O_e_barringtonensis,Height,300,600
O_e_gigantea,Height,300,1200
O_e_inermis,Height,200,600
O_e_zacana,Height,100,200
O_g_galapageia,Height,200,500
O_g_macrocarpa,Height,200,400
O_g_profusa,Height,100,300
O_helleri,Height,75,200
O_insularis,Height,100,250
O_m_megasperma,Height,200,600
O_m_mesophytica,Height,200,600
O_m_orientalis,Height,200,500
O_saxicola,Height,100,200
O_e_echios,Pad_length,25,45
O_e_barringtonensis,Pad_length,26,36
O_e_gigantea,Pad_length,24,37
O_e_inermis,Pad_length,26,40
O_e_zacana,Pad_length,25,50
O_g_galapageia,Pad_length,22,38
O_g_macrocarpa,Pad_length,22,30
O_g_profusa,Pad_length,21,38
O_helleri,Pad_length,20,37
O_insularis,Pad_length,10,52
O_m_megasperma,Pad_length,25,37
O_m_mesophytica,Pad_length,12,20
O_m_orientalis,Pad_length,12,35
O_saxicola,Pad_length,17,29
O_e_echios,Pad_width,17,32
O_e_barringtonensis,Pad_width,19,24
O_e_gigantea,Pad_width,15,26
O_e_inermis,Pad_width,14,27
O_e_zacana,Pad_width,20,30
O_g_galapageia,Pad_width,15,27
O_g_macrocarpa,Pad_width,15,18
O_g_profusa,Pad_width,18,26
O_helleri,Pad_width,10,22
O_insularis,Pad_width,18,25
O_m_megasperma,Pad_width,15,25
O_m_mesophytica,Pad_width,5.5,9.5
O_m_orientalis,Pad_width,23,48
O_saxicola,Pad_width,12,20
O_e_echios,Pad_thickness,1,2.4
O_e_barringtonensis,Pad_thickness,1.3,1.9
O_e_gigantea,Pad_thickness,1.2,1.9
O_e_inermis,Pad_thickness,1.5,2.1
O_e_zacana,Pad_thickness,2,3.5
O_g_galapageia,Pad_thickness,1,3.5
O_g_macrocarpa,Pad_thickness,1.6,2.7
O_g_profusa,Pad_thickness,1.8,2.7
O_helleri,Pad_thickness,1.3,2.6
O_insularis,Pad_thickness,0.5,2.5
O_m_megasperma,Pad_thickness,1.8,3.4
O_m_mesophytica,Pad_thickness,0.8,1.7
O_m_orientalis,Pad_thickness,1.2,2.7
O_saxicola,Pad_thickness,0.5,2.2
O_e_echios,Areoles_width,0.2,0.6
O_e_barringtonensis,Areoles_width,0.3,0.8
O_e_gigantea,Areoles_width,0.4,0.8
O_e_inermis,Areoles_width,0.4,0.8
O_e_zacana,Areoles_width,0.3,0.6
O_g_galapageia,Areoles_width,0.2,0.7
O_g_macrocarpa,Areoles_width,0.4,0.65
O_g_profusa,Areoles_width,0.4,0.6
O_helleri,Areoles_width,0.25,0.5
O_insularis,Areoles_width,0.4,0.7
O_m_megasperma,Areoles_width,0.2,0.6
O_m_mesophytica,Areoles_width,0.15,0.2
O_m_orientalis,Areoles_width,0.3,0.6
O_saxicola,Areoles_width,0.4,0.5
O_e_echios,Areoles_distance,1.3,3
O_e_barringtonensis,Areoles_distance,1.6,3.3
O_e_gigantea,Areoles_distance,1.3,2.8
O_e_inermis,Areoles_distance,1.7,2.8
O_e_zacana,Areoles_distance,1.5,3
O_g_galapageia,Areoles_distance,2.5,3.4
O_g_macrocarpa,Areoles_distance,2.3,2.8
O_g_profusa,Areoles_distance,2.2,3.3
O_helleri,Areoles_distance,1.5,2.6
O_insularis,Areoles_distance,1.4,1.8
O_m_megasperma,Areoles_distance,3,4.2
O_m_mesophytica,Areoles_distance,1.8,3.2
O_m_orientalis,Areoles_distance,1.8,4.5
O_saxicola,Areoles_distance,1.5,2.7
O_e_echios,Spines_number_per_areole,2,20
O_e_barringtonensis,Spines_number_per_areole,2,20
O_e_gigantea,Spines_number_per_areole,5,50
O_e_inermis,Spines_number_per_areole,3,20
O_e_zacana,Spines_number_per_areole,1,17
O_g_galapageia,Spines_number_per_areole,5,35
O_g_macrocarpa,Spines_number_per_areole,5,25
O_g_profusa,Spines_number_per_areole,5,22
O_helleri,Spines_number_per_areole,7,28
O_insularis,Spines_number_per_areole,10,50
O_m_megasperma,Spines_number_per_areole,8,50
O_m_mesophytica,Spines_number_per_areole,1,17
O_m_orientalis,Spines_number_per_areole,20,40
O_saxicola,Spines_number_per_areole,14,30
O_e_echios,Spine_length,1.2,12
O_e_barringtonensis,Spine_length,1.8,2.6
O_e_gigantea,Spine_length,1,7.5
O_e_inermis,Spine_length,5.5,6.2
O_e_zacana,Spine_length,1.6,5
O_g_galapageia,Spine_length,2.5,7.5
O_g_macrocarpa,Spine_length,4.8,5.4
O_g_profusa,Spine_length,3,5.5
O_helleri,Spine_length,1.2,4.1
O_insularis,Spine_length,4,5
O_m_megasperma,Spine_length,6,10
O_m_mesophytica,Spine_length,2.5,3.9
O_m_orientalis,Spine_length,2.9,5.5
O_saxicola,Spine_length,3,8
